id,sponsor,venue,place,city/town,state/country,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
26152,FLATIRON RESAURANT AND CAFE,COMMERCIAL,"NEW YORK, NY",NEW YORK,NY,CARD; 3 X 11;,,PRICED MENU;,1906-976,1906-12-20,Flatiron Resaurant And Cafe,Dollars,$,complete,2,95
26249,MARTINIQUE APARTMENTS,COMMERCIAL,",NY",,NY,BROADSIDE; COL; 4.5 X 7.5,DAILY,HOURS LISTED;,1899-608,1899-10-06,Martinique Apartments,,,complete,2,38
26358,Pan American,AIRLINE,,,,Folder; 5.5 x 8 inches,,"Dieter Zander Collection; cover design for the ""Orient"" by Lillian Sader.",Zander 23 undated,,Pan American,,,complete,3,10
26787,BRISTOL HOTEL,HOTEL,Bristol Hotel,Bristol Hotel,,Booklet; 8.5 x 12 inches,,Dieter Zander Collection.,Zander 224 undated,,Bristol Hotel,Deutsche Marks,DM,complete,8,81
27025,"Chicagoan, Kansas Cityan",RAILROAD,,,,9 x 6 in. ,,Includes a la carte and table d'hote menu options.  Insert : Specials.,Soete 160,1948-10-28,"Chicagoan, Kansas Cityan",Dollars,$,complete,5,119
27045,"San Diegan, Fred Harvey",RAILROAD,,,,9 x 6 in. fold.,,Includes a la carte and table d'hote menu options.,Soete 158,1941-09-29,"San Diegan, Fred Harvey",Dollars,$,complete,4,65
27052,San Francisco Overland Limited,RAILROAD,San Francisco Overland Limited,San Francisco Overland Limited,,"9 x 5 in., fold. ; ill.",,"Photographic illustration of Crater Lake, Oregon. Includes a la carte and table d'hote service options. Manager : Harry A. Butler. Menu Title : Southern Pacific Breakfast Select. Advertisement on obverse : Southern Pacific Plaza at San Diego Fair.",Soete 3,1920-01-01,San Francisco Overland Limited,Dollars,$,complete,6,111
27059,Southern Railway System,RAILROAD,,,,11 x 7 in. ; ill.,,"Event : Southern College Football Games. Advertisements : Pabst Blue Ribbon Beer, Hotel Edison, The Hotel Raleigh, S & W Cafeterias, Dinkler Hotels. Manager Dining Cars : W. F. Kusch.",Soete 180,,Southern Railway System,Dollars,$,complete,4,102
27074,Southern Pacific,RAILROAD,Southern Pacific,Southern Pacific,,8 x 5 1/2 in. fold. ; ill.,,Manager : Harry A. Butler. Includes table d'hote service and a la carte service options.,Soete 21,1937-08-01,Southern Pacific,Dollars,$,complete,4,78
27089,"Pennsylvania Railroad, Southern Railway System",RAILROAD,,,,10 x 7 in. fold. ; ill. col.,,Manager Dining Cars : W. F. Kusch.,Soete 241,,"Pennsylvania Railroad, Southern Railway System",Dollars,$,complete,3,77
27149,Unknown,RAILROAD,,,,10 1/2 x 7 in. ; ill. col.,,"Superintendent : H. W. Quinlan. Printer : Ackerman Printing Co., Boston",Soete 132,1940-01-01,Unknown,Dollars,$,complete,4,125
27163,Western Pacific,RAILROAD,The Feather River Route,The Feather River Route,,9 x 6 1/2 in. fold. ; ill.,,General Passenger Agent : J. L Scott. Superintendent Dining Cars : W. P. Stiles.,Soete 176,1938-04-13,Western Pacific,Dollars,$,complete,4,78
27273,Gramercy Park Hotel,"HOTEL,RESTAURANT",Gramercy Park Hotel,Gramercy Park Hotel,,photocopy; 8.5 x 14 inches; folded in quarters,,"Baratta collection; annotated; room service charge 75 cents per person plus a gratuity of 15 percent; chef's specials; continental breakfast: breakfast menu served from 7:30 to 11:30 a.m. weekdays and from 8:00 a.m. to noon on Saturdays, Sundays and holid",Baratta 120,1980-08-28,Gramercy Park Hotel,Dollars,$,complete,1,58
27396,NORDDEUTSCHER LLOYD,STEAMSHIP,ABOARD KRONPRINZESSIN CECILIE,ABOARD KRONPRINZESSIN CECILIE,,CARD; ILLUS; COL; 5.5 X 8.5,,MENU IN GERMAN AND ENGLISH; GNOMES IN RUST; IMPRINTED AS POSTCARD,1910-710,1910-03-09,Norddeutscher Lloyd,,,complete,2,50
27430,USMS PHILADELPHIA,STEAMSHIP,ON BOARD,ON BOARD,,CARD; COL; 3.75 X 6,OTHER (DAILY MENU),"IN ENGLISH ONLY; WATERCRESS LISTED AS A COURSE; ON PALE GREEN STOCK; COMPLETE WINE LIST, ETC WITH PRICES",1910-901,1910-03-17,Usms Philadelphia,Dollars,$,complete,2,81
27432,AMERICAN LINE,STEAMSHIP,ABOARD U.S.M.S. ST. LOUIS,ST. LOUIS,,CARD; COL; 3.75 X 6,,PRICED WINE LIST; PINK STOCK,1910-704,1910-03-09,American Line,Dollars,$,complete,2,91
